,guid,premise,hypothesis,label
139370,4299160955112,People walking around in the street near some parked trucks.,People make their way around the street through some parked trucks.,1
139371,4299160955111,People walking around in the street near some parked trucks.,There are people walking across the deserted street.,2
139372,4299160955110,People walking around in the street near some parked trucks.,There are people waking in the street near parked trucks.,0
139400,367794886212,A woman is observing a sample through a microscope.,A woman looking for something,1
139401,367794886210,A woman is observing a sample through a microscope.,A woman have microphone,0
139402,367794886211,A woman is observing a sample through a microscope.,A woman watching through a telescope,2
139445,2888808511410,an infant with a toothbrush in a sink.,An infant is inside the sink with a toothbrush.,0
139446,2888808511412,an infant with a toothbrush in a sink.,An infant is waving the toothbrush.,1
139447,2888808511411,an infant with a toothbrush in a sink.,An infant is napping inside the sink.,2
139517,266464443310,A young male child in a yellow jacket placing a piece down.,child puts it down,0
139518,266464443311,A young male child in a yellow jacket placing a piece down.,man puts child down,2
139519,266464443312,A young male child in a yellow jacket placing a piece down.,baby tosses toy on floor,1
139580,24183660111,Four women in dresses and three men in black suits standing in front of a microphone singing.,The musicians are waiting to perform.,2
139581,24183660110,Four women in dresses and three men in black suits standing in front of a microphone singing.,A group of musicians are singing.,0
139582,24183660112,Four women in dresses and three men in black suits standing in front of a microphone singing.,The singers are in a retro-pop group.,1
139607,4545487394111,Two men are attending to a child's bicycle that is turned upside down as three children look on.,The men are riding bikes.,2
139608,4545487394112,Two men are attending to a child's bicycle that is turned upside down as three children look on.,The men have tools in their hands.,1
139609,4545487394110,Two men are attending to a child's bicycle that is turned upside down as three children look on.,The men are fixing a bike.,0
139736,161542404412,Person grinding a piece of metal.,The person in the factory.,1
139737,161542404411,Person grinding a piece of metal.,The person in temple.,2
139738,161542404410,Person grinding a piece of metal.,There is a person in outdoor.,0
139871,4158826243411,"Battling between the sexes, who will win.",The man and the woman are getting along nicely,2
139872,4158826243412,"Battling between the sexes, who will win.",The man and the woman are competing to beat each other in a contest.,1
139873,4158826243410,"Battling between the sexes, who will win.",There is a man and a woman competing.,0
139927,7272406870112,"A baseball player is caught midair attempting to catch the baseball with his mitt, while another player looks on.",The man is jumping for the ball.,1
139928,7272406870111,"A baseball player is caught midair attempting to catch the baseball with his mitt, while another player looks on.",The player is fielding a ground ball.,2
139929,7272406870110,"A baseball player is caught midair attempting to catch the baseball with his mitt, while another player looks on.",The person is jumping for the ball.,0
139981,3519483468312,A street artist is drawing a portrait of a young boy,The man has a line of people waiting to be drawn.,1
139982,3519483468311,A street artist is drawing a portrait of a young boy,The man is in a studio taking photos.,2
139983,3519483468310,A street artist is drawing a portrait of a young boy,A man is creating art.,0
140146,4743212760210,One young man waits patiently while doing his laundry in a small laundromat.,a man is washing clothes,0
140147,4743212760212,One young man waits patiently while doing his laundry in a small laundromat.,the man is listening to music while he waits,1
140148,4743212760211,One young man waits patiently while doing his laundry in a small laundromat.,the man dropped the clothes off at the dry cleaners,2
140446,268224691011,"A group of three men, all of whom are wearing blue jeans, are walking on a sidewalk.",Nobody is wearing blue jeans.,2
140447,268224691012,"A group of three men, all of whom are wearing blue jeans, are walking on a sidewalk.",The sidewalk is not crowded.,1
140448,268224691010,"A group of three men, all of whom are wearing blue jeans, are walking on a sidewalk.",Some people are walking outside.,0
140482,1589475284311,Few people hitch a ride on the back of a garbage truck.,Some peoples are playing cricket in ground,2
140483,1589475284310,Few people hitch a ride on the back of a garbage truck.,Few people are riding  irrately on the back of a garbage truck,0
140484,1589475284312,Few people hitch a ride on the back of a garbage truck.,Some people are rideing some vehicles,1
140530,4468251915310,A crew of workers replacing an old roof.,Some of the crew of workers are on the roof.,0
140531,4468251915311,A crew of workers replacing an old roof.,The crew of workers are performing a dance.,2
140532,4468251915312,A crew of workers replacing an old roof.,The crew workers are using tools.,1
140578,3182490771112,"A woman is sitting outside her house with a blue door, enjoying the air.",The woman is sitting outside trying to take a nap in the fresh air.,1
140579,3182490771110,"A woman is sitting outside her house with a blue door, enjoying the air.",The woman is relaxing outside.,0
140580,3182490771111,"A woman is sitting outside her house with a blue door, enjoying the air.",The women is watching it rain outside.,1
140698,544764927211,"Asian female, with a bag on walking by the subway station.",The woman woke up late and is running to work.,2
140699,544764927210,"Asian female, with a bag on walking by the subway station.",The woman is walking by the subway.,0
140700,544764927212,"Asian female, with a bag on walking by the subway station.",The woman is waiting for a bus.,1
140947,216308314012,The men are enjoy a scooter ride through an office space.,The men got caught and lost their jobs.,1
140948,216308314011,The men are enjoy a scooter ride through an office space.,The men are on a dirt rode with their scooters.,2
140949,216308314010,The men are enjoy a scooter ride through an office space.,The men are riding their scooters.,0
140953,3815669424012,A small car decorated with flames and other paint is driving amongst a crowd with a tub and flags on the roof.,A Volkswagon bug is driving in a field.,1
140954,3815669424011,A small car decorated with flames and other paint is driving amongst a crowd with a tub and flags on the roof.,"There is a small, solid black car driving amongst a crowd.",2
140955,3815669424010,A small car decorated with flames and other paint is driving amongst a crowd with a tub and flags on the roof.,There is a small car in a field.,0
140956,7327356514210,An oriental baby staring into the camera being held by her mother.,A baby stares into a camera.,0
140957,7327356514211,An oriental baby staring into the camera being held by her mother.,A baby is controlling the camera with her mind.,2
140958,7327356514212,An oriental baby staring into the camera being held by her mother.,A baby is getting her picture taken.,1
141049,241345811211,A football player in red and white is talking to a coach.,The house has yellow paint.,2
141050,241345811210,A football player in red and white is talking to a coach.,A football is talking with a superior.,0
141051,241345811212,A football player in red and white is talking to a coach.,There is a football game going on.,1
141121,3733543762310,A group of tourists are standing on a bridge.,The people are not from that area.,0
141122,3733543762312,A group of tourists are standing on a bridge.,The bridge is a historical landmark.,1
141123,3733543762311,A group of tourists are standing on a bridge.,The bridge is underwater.,2
141127,3733543762110,A group of people is standing on a pier in front of a large green boat.,They are on a boat.,0
141128,3733543762112,A group of people is standing on a pier in front of a large green boat.,They are ready to sail.,1
141129,3733543762111,A group of people is standing on a pier in front of a large green boat.,They are on the Carribean seas.,2
141157,529321454011,The woman is washing tin bowls in a tin basin with yellow wristband is smiling.,There is a women thinking about washing items,2
141158,529321454010,The woman is washing tin bowls in a tin basin with yellow wristband is smiling.,There is a women washing clothing items,0
141159,529321454012,The woman is washing tin bowls in a tin basin with yellow wristband is smiling.,There is a women washing clothing items so she can relax later,1
141244,5097453728111,A man with a beige shirt and blue shorts is carrying a long stick with a dagger at the end in the forest.,A group of men play corn hole.,2
141245,5097453728112,A man with a beige shirt and blue shorts is carrying a long stick with a dagger at the end in the forest.,A castaway searches for wild boar.,1
141246,5097453728110,A man with a beige shirt and blue shorts is carrying a long stick with a dagger at the end in the forest.,A man walks through the forest with a spear.,0
141271,4674228685311,A man reading a newspaper while waiting for a train.,A man is staring at an oncoming train.,2
141272,4674228685310,A man reading a newspaper while waiting for a train.,A man is looking at a newspaper.,0
141273,4674228685312,A man reading a newspaper while waiting for a train.,A man is sitting in a train station.,1
141292,3154709407410,Number five plays basketball for Miami.,two girls were ther,0
141293,3154709407412,Number five plays basketball for Miami.,the child was happy`,1
141294,3154709407411,Number five plays basketball for Miami.,they are girls there too,2
141430,4644327815110,Police officers putting yellow tape from a doorway to a tree to stop bystanders from entering the area.,The area is marked off as a crime scene.,0
141431,4644327815111,Police officers putting yellow tape from a doorway to a tree to stop bystanders from entering the area.,The police want as many people as possible to march through the area.,2
141432,4644327815112,Police officers putting yellow tape from a doorway to a tree to stop bystanders from entering the area.,The police suspect foul play.,1
141460,862683343011,A rodeo rider tries to stay on a bull while another man runs toward him and several spectators watch from behind a gate.,He is going to get gored by the cow.,2
141461,862683343010,A rodeo rider tries to stay on a bull while another man runs toward him and several spectators watch from behind a gate.,He is giving it is all to hang on to the animal.,0
141462,862683343012,A rodeo rider tries to stay on a bull while another man runs toward him and several spectators watch from behind a gate.,He is going to get thrown off the animal.,1
141490,948196883411,A man is asleep on the ground near two bank machines.,A man is not sleeping for 5 years.,2
141491,948196883412,A man is asleep on the ground near two bank machines.,A man is asleep on the ground to take rest.,1
141492,948196883410,A man is asleep on the ground near two bank machines.,A man fell asleep in bank.,0
141496,2180356743212,"A boy watches his classmates play in a courtyard, looking from above.",A boy is not allowed to play with his friends in the courtyard.,1
141497,2180356743211,"A boy watches his classmates play in a courtyard, looking from above.",A boy plays with his friends in the courtyard.,2
141498,2180356743210,"A boy watches his classmates play in a courtyard, looking from above.",A boy watches his classmates play.,0
141532,3773321396012,"A brunette female, in yellow tank top, paisley printed skirt, hairy legs, seated on a blue sofa, reading a book.",Female reading a book to her 2nd grade class,1
141533,3773321396011,"A brunette female, in yellow tank top, paisley printed skirt, hairy legs, seated on a blue sofa, reading a book.",Female reading on her kindle,2
141534,3773321396010,"A brunette female, in yellow tank top, paisley printed skirt, hairy legs, seated on a blue sofa, reading a book.",Female reading a book,0
141601,3304556387010,A man is holding a treat up in the air and a dog is in midair trying to grab it while another dog watches.,a man is holding a treat up for a dog,0
141602,3304556387011,A man is holding a treat up in the air and a dog is in midair trying to grab it while another dog watches.,a man is holding a treat up in the air and 2 dogs are in mid air trying to grab it.,2
141603,3304556387012,A man is holding a treat up in the air and a dog is in midair trying to grab it while another dog watches.,a dog is jumping in mid air,1
141745,4708658738312,Old man in orange shirt sleeping.,The man has been sleeping for over six hours.,1
141746,4708658738310,Old man in orange shirt sleeping.,An elderly person in a loud shirt is in slumber.,0
141747,4708658738311,Old man in orange shirt sleeping.,An old orange is next to a sleeping bag.,2
141877,6286924128112,Children running in a football field in full uniform with a gate and cars in the background.,The kids are playing a football game in front of a crowd.,1
141878,6286924128110,Children running in a football field in full uniform with a gate and cars in the background.,Kids are playing football.,0
141879,6286924128111,Children running in a football field in full uniform with a gate and cars in the background.,The boys are huddled in an igloo.,2
142099,2691147709210,A cowboy riding bareback on a white stallion in mid buck at a rodeo.,A cowboy riding a bucking stallion at a competition.,0
142100,2691147709212,A cowboy riding bareback on a white stallion in mid buck at a rodeo.,A professional horseback rider riding a wild horse at a rodeo outdoors.,1
142101,2691147709211,A cowboy riding bareback on a white stallion in mid buck at a rodeo.,A cowboy putting up a fench on his ranch.,2
142672,2871981087211,Cheerleaders show symmetry as they prepare to perform.,Ten men are about to go bowling.,2
142673,2871981087212,Cheerleaders show symmetry as they prepare to perform.,The cheerleaders do complicated flips and twists.,1
142674,2871981087210,Cheerleaders show symmetry as they prepare to perform.,Cheerleaders are preparing a routine to perform.,0
142696,1104087374210,A boy and a girl holding hands while sitting on a shore.,a couple holding hands.,0
142697,1104087374212,A boy and a girl holding hands while sitting on a shore.,A couple holding hands at the beach.,1
142698,1104087374211,A boy and a girl holding hands while sitting on a shore.,A couple of squirrels fighting over a peanut in a tree.,2
142750,2422302286110,There is a child in a red and yellow toy car.,A child is playing.,0
142751,2422302286112,There is a child in a red and yellow toy car.,A child is pretending to drive.,1
142752,2422302286111,There is a child in a red and yellow toy car.,A child is crying.,2
143007,230282077311,The middle of the town and townspeople.,The middle of Mordor.,2
143008,230282077312,The middle of the town and townspeople.,The people belong to the town.,1
143009,230282077310,The middle of the town and townspeople.,The center of town.,0
143223,4715755037112,Two male cowboys are riding a horse trying to rope a black cafe.,The cowboys are working on a dude ranch and performing for a crowd.,1
143224,4715755037111,Two male cowboys are riding a horse trying to rope a black cafe.,Two female cowboys are riding a horse trying to rope a black cafe.,2
143225,4715755037110,Two male cowboys are riding a horse trying to rope a black cafe.,Cowboys are trying to rope a caLf.,0
143355,4924098332311,Two girls looking at an informational poster.,Two girls have a Justin Bieber poster.,2
143356,4924098332312,Two girls looking at an informational poster.,Some girls are reading.,1
143357,4924098332310,Two girls looking at an informational poster.,two girls are looking at a flyer,0
143457,5441315625411,Two monks descend down stairs.,Two rabbis walk down stairs,2
143458,5441315625410,Two monks descend down stairs.,two monks are walking,0
143459,5441315625412,Two monks descend down stairs.,The monks are praying,1
143682,2815788792311,"Dog jumps backwards, doing trick with man outdoors.",A man plays fetch with his dog.,2
143683,2815788792312,"Dog jumps backwards, doing trick with man outdoors.",A man is teaching his dog to do tricks.,1
143684,2815788792310,"Dog jumps backwards, doing trick with man outdoors.",A man plays with a trained animal.,0
143772,3738789925311,A boy with blue eyes hanging off a play set.,The boy fell off the swings.,2
143773,3738789925312,A boy with blue eyes hanging off a play set.,The blue eyed boy played excitedly on the slide.,1
143774,3738789925310,A boy with blue eyes hanging off a play set.,The boy hung from the monkey bars,0
143943,2652522323111,Girl with tan dress and a hat with woman in a gray top with blue ball on ground.,two woman was not looking good.,2
143944,2652522323112,Girl with tan dress and a hat with woman in a gray top with blue ball on ground.,Two women dressed neatly.,1
143945,2652522323110,Girl with tan dress and a hat with woman in a gray top with blue ball on ground.,Two women in outdoor.,0
143952,6331630561312,Two females sparring in martial arts.,The women are enjoying their workout.,1
143953,6331630561311,Two females sparring in martial arts.,The women are getting messages after their workout.,2
143954,6331630561310,Two females sparring in martial arts.,The women are fighting each other.,0
144195,445148321010,A person in the distance hikes among hoodoos with stars visible in the sky.,A person hiking at night.,0
144196,445148321012,A person in the distance hikes among hoodoos with stars visible in the sky.,A vampire hiking at night.,2
144197,445148321011,A person in the distance hikes among hoodoos with stars visible in the sky.,A solar eclipse turning day to night.,2
144240,7010540685410,A sports player attempting to catch the ball.,There is a ball in the air on its way to the player.,0
144241,7010540685412,A sports player attempting to catch the ball.,The player is playing football.,1
144242,7010540685411,A sports player attempting to catch the ball.,The player is playing hockey.,2
144243,4557307607312,The class is taking a very important test.,The students are taking a test that is worth fifty percent of their grade.,1
144244,4557307607311,The class is taking a very important test.,Some of the class have their hands raised and are shouting out.,2
144245,4557307607310,The class is taking a very important test.,The students are quietly seated during an exam.,0
144260,6586954247210,Family trying to be polite as street magician in trendy Merrell shoes approaches them.,The performer wears stylish shoes as he approaches a family.,0
144261,6586954247211,Family trying to be polite as street magician in trendy Merrell shoes approaches them.,The magician performs on a stage.,2
144262,6586954247212,Family trying to be polite as street magician in trendy Merrell shoes approaches them.,The family does not want to deal with the magician.,1
144680,4563111678412,a woman is working at her desk,One woman working in the office,1
144681,4563111678411,a woman is working at her desk,There is a woman sitting in the desk,2
144682,4563111678410,a woman is working at her desk,There is a woman working in office,0
144785,2642688531212,Boy in yellow shirt sitting in yellow playground slide,Boy in a yellow shirt is sitting on a colorful slide.,1
144786,2642688531210,Boy in yellow shirt sitting in yellow playground slide,Boy in a yellow shirt is sitting in a park.,0
144787,2642688531211,Boy in yellow shirt sitting in yellow playground slide,Boy in a yellow shirt is playing in the sand.,2
144931,7099257151112,A referee in an international soccer match discussing a recent foul with players from each team.,The referee is upset over a foul play.,1
144932,7099257151110,A referee in an international soccer match discussing a recent foul with players from each team.,The referee is trying to be fair to both sides.,0
144933,7099257151111,A referee in an international soccer match discussing a recent foul with players from each team.,The soccer match is only for local citizens.,1
144934,3057862887010,A woman with man bead necklaces looks down at the girl sitting next to her.,people are watching the girls necklace.,0
144935,3057862887011,A woman with man bead necklaces looks down at the girl sitting next to her.,old people are sleeping their opened eyes.,2
144936,3057862887012,A woman with man bead necklaces looks down at the girl sitting next to her.,people are watching the jewelry in the shop.,1
144943,3057862887311,A child and an adult looking at each other.,Two kids are playing with each other.,2
144944,3057862887312,A child and an adult looking at each other.,A child is with his pet.,1
144945,3057862887310,A child and an adult looking at each other.,A child and animal are starring at each other.,0
144985,6586955019010,There's a man in a wheelchair who is stationed on a street corner with a guitar and an amp.,A wheelchair bound man has an instrument.,0
144986,6586955019012,There's a man in a wheelchair who is stationed on a street corner with a guitar and an amp.,The man is trying to collect spare change in a hat on the ground.,1
144987,6586955019011,There's a man in a wheelchair who is stationed on a street corner with a guitar and an amp.,There's a man in a wheelchair who is stationed in the middle of a block with a guitar and an amp.,2
145006,4448469248311,A man and woman wearing coats taking a walk.,A couple in swimsuits rests by the beach.,2
145007,4448469248310,A man and woman wearing coats taking a walk.,Two people walk in coats.,0
145008,4448469248312,A man and woman wearing coats taking a walk.,A couple walks during a cold day.,1
145029,4689487867012,"Older man wearing a north face vest, sunglasses and hat with buttons looking over cards at outdoor stand.",The man is looking for a card to purchase.,0
145030,4689487867010,"Older man wearing a north face vest, sunglasses and hat with buttons looking over cards at outdoor stand.",The man in the vest and sunglasses looking at cards at the stand has buttons on his hat.,0
145031,4689487867011,"Older man wearing a north face vest, sunglasses and hat with buttons looking over cards at outdoor stand.",The man is sitting in a chair.,2
145163,3120440309210,A lavishly dressed woman with a nose ring sits and embroiders.,A pretty woman shows off her piercing.,0
145164,3120440309211,A lavishly dressed woman with a nose ring sits and embroiders.,A woman with no piercing is dressed like a bum.,2
145165,3120440309212,A lavishly dressed woman with a nose ring sits and embroiders.,A woman attends a wedding without taking out her piercings.,1
145238,2112870497311,A mother and daughter standing in front of a graffiti covered wall.,Two women sew on a quilt.,2
145239,2112870497310,A mother and daughter standing in front of a graffiti covered wall.,A mother and daughter pose for a picture.,1
145240,2112870497312,A mother and daughter standing in front of a graffiti covered wall.,A mother and daughter are looking at the artwork on the wall.,1
145358,4752482394311,Girl listening to purple headphones at a coffee shop,A girl at a concert moshes to the music.,2
145359,4752482394310,Girl listening to purple headphones at a coffee shop,A girl at a coffee shop listens to purple headphones.,0
145360,4752482394312,Girl listening to purple headphones at a coffee shop,A girl at a coffee shop listens to music on her purple headphones.,1
145508,2617155996310,Two men carrying a large plate of glass.,Someone is carrying glass.,0
145509,2617155996312,Two men carrying a large plate of glass.,The glass plate is very heavy.,1
145510,2617155996311,Two men carrying a large plate of glass.,The glass is broken.,2
145541,2045023435111,A gray dog is looking at a ball in the air.,A little dog is sitting down beside an old man.,2
145542,2045023435110,A gray dog is looking at a ball in the air.,A gray dog is looking at the ball thrown into the air.,0
145543,2045023435112,A gray dog is looking at a ball in the air.,Several dogs are playing in the field running after a ball.,1
145547,3096201601112,A lady standing in the woods raking leaves in front of two parked cars.,The women is clearing the field to play sports.,1
145548,3096201601110,A lady standing in the woods raking leaves in front of two parked cars.,The women is cleaning up the forest.,0
145549,3096201601111,A lady standing in the woods raking leaves in front of two parked cars.,The women is driving the car.,2
145586,4423275742310,A birds eye few of early risers on a beach.,there are people on the beach,0
145587,4423275742311,A birds eye few of early risers on a beach.,the beach is empty,2
145588,4423275742312,A birds eye few of early risers on a beach.,there are people on the beach for sunrise,1
145619,4814925108410,Girl posting a flyer on a wall.,A girl is decorating a room,0
145620,4814925108411,Girl posting a flyer on a wall.,A girl  is reading a book,2
145621,4814925108412,Girl posting a flyer on a wall.,A girl is posting a beatles poster on the wall,1
145625,7001163737311,A male volleyball player prepares to spike the ball.,The volleyball player is a woman.,2
145626,7001163737310,A male volleyball player prepares to spike the ball.,A volleyball player spikes it.,0
145627,7001163737312,A male volleyball player prepares to spike the ball.,The volleyball player scored a point.,1
145775,2781093465012,A man dressed in blue standing on the back of a train.,A man dressed in blue is going on a train ride.,1
145776,2781093465010,A man dressed in blue standing on the back of a train.,A man is riding a train.,0
145777,2781093465011,A man dressed in blue standing on the back of a train.,A woman in red is driving a convertible.,2
145778,4304306426011,A young girl is writing on a piece of paper with a purple pencil.,A girl is drawing on the chalkboard.,2
145779,4304306426010,A young girl is writing on a piece of paper with a purple pencil.,A girl writes on a piece of paper.,0
145780,4304306426012,A young girl is writing on a piece of paper with a purple pencil.,A girl makes a card for her friend.,1
145823,6267021353410,A man making balloon and enjoy.,enjoying in making ballon,0
145824,6267021353411,A man making balloon and enjoy.,man at sallon,2
145825,6267021353412,A man making balloon and enjoy.,balloon making perosn,1
145880,6056788662210,A group of people dancing and a couple engaging in a kiss.,the bvoy was dressed as a cowboy,0
145881,6056788662211,A group of people dancing and a couple engaging in a kiss.,they are girls there too,2
145882,6056788662212,A group of people dancing and a couple engaging in a kiss.,the boy was listening,1
146182,4701518180411,This gentleman is talking on the phone.,they are girls there too,2
146183,4701518180412,This gentleman is talking on the phone.,watched by a group,2
146184,4701518180410,This gentleman is talking on the phone.,a child is standing,0
146197,2941683067410,Firefighters hard at work.,The firefighters are dressed in fire gear.,0
146198,2941683067412,Firefighters hard at work.,The firefighters are fighting a fire.,1
146199,2941683067411,Firefighters hard at work.,The firefighters are enjoy a day at the beach on Mars.,2
146263,4435313832310,A woman is holding on to a bar while doing gymnastics.,The woman is a gymnast.,0
146264,4435313832311,A woman is holding on to a bar while doing gymnastics.,The woman is doing a cartwheel.,2
146265,4435313832312,A woman is holding on to a bar while doing gymnastics.,The woman does uneven bars.,1
146518,6364640471410,The teacher is reading a story to the class.,Its storytime in the teachers classroom.,0
146519,6364640471412,The teacher is reading a story to the class.,Someone is showing kids how to read.,1
146520,6364640471411,The teacher is reading a story to the class.,A boy sits on a curb.,2
146533,96420612410,A shirtless man bodysurfs.,Some guy is bodyboarding in the water.,0
146534,96420612412,A shirtless man bodysurfs.,A guy is bodyboarding at the beach with just his swim trunks on.,1
146535,96420612411,A shirtless man bodysurfs.,A guy with no shirt on is harrassing women.,2
146658,4511584046311,A woman in a brown sweater adjusts her glasses.,The woman is wearing a green sweater.,2
146659,4511584046310,A woman in a brown sweater adjusts her glasses.,The woman is wearing clothes.,0
146660,4511584046312,A woman in a brown sweater adjusts her glasses.,The woman is reading a book.,1
146724,2819254573110,A child is yelling whilst on a roller coaster,The roller coaster moves quickly,0
146725,2819254573112,A child is yelling whilst on a roller coaster,The ride is almost over,1
146726,2819254573111,A child is yelling whilst on a roller coaster,The child is not on a roller coaster,2
146763,4882682075112,A man in a blue shirt gets his picture taken as he is about to take a picture.,people take pictures of each other at the same time,1
146764,4882682075111,A man in a blue shirt gets his picture taken as he is about to take a picture.,tourists look through a telescope together,2
146765,4882682075110,A man in a blue shirt gets his picture taken as he is about to take a picture.,men take pictures of each other,0
146802,5921621723110,A shirtless man is in midair with a skateboard beneath him.,A man is doing skateboarding tricks.,0
146803,5921621723111,A shirtless man is in midair with a skateboard beneath him.,The man is wearing a dress and strolling down the street.,2
146804,5921621723112,A shirtless man is in midair with a skateboard beneath him.,The man is wearing sneakers.,1
147027,154995199011,A girl playing in the sink with toys and some potentially dangerous household chemicals.,A girl is playing outside.,2
147028,154995199010,A girl playing in the sink with toys and some potentially dangerous household chemicals.,A girl playing at home.,0
147029,154995199012,A girl playing in the sink with toys and some potentially dangerous household chemicals.,A girl is playing in the kitchen sink.,1
147117,3088979938210,An older gentleman is caught working in front of his two-monitored desk.,an older man works with two monitors,0
147118,3088979938211,An older gentleman is caught working in front of his two-monitored desk.,a man is caught looking at inappropriate things on his desktop,2
147119,3088979938212,An older gentleman is caught working in front of his two-monitored desk.,an older man catches up on officework when he is caught,1
147225,3491607076211,The racing winner accepts his trophy.,There was snow on the racetrack.,2
147226,3491607076210,The racing winner accepts his trophy.,A race was won,0
147227,3491607076212,The racing winner accepts his trophy.,The winner didn't crash,1
147362,2705920452312,A man in a gray shirt is bobbing for apples.,A grandpa is bobbing for apples with his grandchildren.,1
147363,2705920452310,A man in a gray shirt is bobbing for apples.,A man is biting apples that are floating in water.,0
147364,2705920452311,A man in a gray shirt is bobbing for apples.,A boy is swimming in his pool.,2
147404,488518506212,Man with fishing nets walking out to sea near some islands.,The man is going fishing.,1
147405,488518506211,Man with fishing nets walking out to sea near some islands.,The man is running with a fishing pole.,2
147406,488518506210,Man with fishing nets walking out to sea near some islands.,The man is walking outside.,0
147446,3532192208210,A man in a room with three other people holding a large camera.,The camera is heavy.,0
147447,3532192208212,A man in a room with three other people holding a large camera.,The man knows the three other people.,1
147448,3532192208211,A man in a room with three other people holding a large camera.,The people are outside.,2
147461,4456044325112,"A man, dresses in white, holds a can while he walks on brick pavement.",Man walks on a pavement carrying something on hands,1
147462,4456044325110,"A man, dresses in white, holds a can while he walks on brick pavement.","Man with white dress, holds a can and walking on a brick pavement",0
147463,4456044325111,"A man, dresses in white, holds a can while he walks on brick pavement.",Man runs in the race to win the title,2
147467,3527524436112,A man in a tutu waterskies in a lake surrounded by snow.,The man is crazy,1
147468,3527524436110,A man in a tutu waterskies in a lake surrounded by snow.,A man is water skiing,0
147469,3527524436111,A man in a tutu waterskies in a lake surrounded by snow.,The man is wearing something traditionally associated with water skiing,2
147491,167452748410,Two men handing out free bibles to people,People give away bibles.,0
147492,167452748412,Two men handing out free bibles to people,Two young people give away bibles.,1
147493,167452748411,Two men handing out free bibles to people,A man sells bibles.,2
147515,167452748012,A man in a blue jacket standing next to a bus smiling with his back hand in his pocket.,A man in a blue jacket standing next to a bus is beaming with happiness as he keeps his hands warm,1
147516,167452748011,A man in a blue jacket standing next to a bus smiling with his back hand in his pocket.,A man is on the bus frowning at the people,2
147517,167452748010,A man in a blue jacket standing next to a bus smiling with his back hand in his pocket.,A man in a blue jacket standing next to a bus smiling is posing and has a hand in his pocket,0
147578,4653642693111,A crowd taking way from the sun underneath a shielding tarp.,A person hiding from the rain.,2
147579,4653642693112,A crowd taking way from the sun underneath a shielding tarp.,People at an event taking a break.,1
147580,4653642693110,A crowd taking way from the sun underneath a shielding tarp.,A group getting some shade.,0
147712,3179226630112,A child getting a picture with people dressed as Mr. and Mrs. Clause.,A kid poses for a picture on Santa's lap at the mall.,1
147713,3179226630111,A child getting a picture with people dressed as Mr. and Mrs. Clause.,A young boy is waiting in line.,2
147714,3179226630110,A child getting a picture with people dressed as Mr. and Mrs. Clause.,A child is taking a picture with Santa.,0
147808,6929649160011,A man dressed in colorful clothing and a helmet sits on the back of a bucking bull with its hind legs raised in the air.,The rodeo clown gets out of his car to assist.,2
147809,6929649160012,A man dressed in colorful clothing and a helmet sits on the back of a bucking bull with its hind legs raised in the air.,A man competes in an outdoor rodeo.,1
147810,6929649160010,A man dressed in colorful clothing and a helmet sits on the back of a bucking bull with its hind legs raised in the air.,"A bull tries to buck off its rider, who is a colorfully dressed man wearing a helmet.",0
147814,6929649160211,A large brown and white bull tries his best to throw off a rodeo rider.,A bull is stomping on a crumpled professional bull rider.,2
147815,6929649160210,A large brown and white bull tries his best to throw off a rodeo rider.,Someone is riding a bull.,0
147816,6929649160212,A large brown and white bull tries his best to throw off a rodeo rider.,A bull rider is riding the fiercest bull at the rodeo.,1
147823,4887777901310,A man is using a camera in a stadium.,A guy recording something.,0
147824,4887777901311,A man is using a camera in a stadium.,A man uses monocle.,2
147825,4887777901312,A man is using a camera in a stadium.,A guy is recording a action in a stadium,1
147850,267041173312,Young men search through compact discs.,Some people and old CDs.,1
147851,267041173311,Young men search through compact discs.,Old people look at records.,2
147852,267041173310,Young men search through compact discs.,Some people and CDs.,0
147895,1246239396412,Cook or butcher enjoying a meal in a restaurant.,The man is drinking beer.,1
147896,1246239396411,Cook or butcher enjoying a meal in a restaurant.,A ballet dancer jumps.,2
147897,1246239396410,Cook or butcher enjoying a meal in a restaurant.,The man is dining out.,0
147940,470903027212,"Man on green grass, mountains and semi-cloudy sky in background.",Man sitting on some grass with mountains and the sky in the background.,1
147941,470903027211,"Man on green grass, mountains and semi-cloudy sky in background.",Man standing in a dirtpit with mountains and the sky in the background.,2
147942,470903027210,"Man on green grass, mountains and semi-cloudy sky in background.",Man on some grass with mountains and the sky in the background.,0
148102,3197482764310,Two girls dressed to party sit on a bed laughing.,2 girls laugh happily on a bed,0
148103,3197482764312,Two girls dressed to party sit on a bed laughing.,2 girls in formal dresses laugh over a joke,1
148104,3197482764311,Two girls dressed to party sit on a bed laughing.,2 girls wearing jeans sit on a bed,2
148123,36391683111,A man in a red shirt is interacting with a woman holding a shopping bag.,A red-haired rides a go-cart.,2
148124,36391683110,A man in a red shirt is interacting with a woman holding a shopping bag.,A woman holds her parcels as she talks with a man.,0
148125,36391683112,A man in a red shirt is interacting with a woman holding a shopping bag.,A woman with a shopping bag talks with someone in red.,1
148147,300594071211,A woman who cleans out port-a-potties rests.,White mice fly helicopters.,2
148148,300594071210,A woman who cleans out port-a-potties rests.,A woman rests.,0
148149,300594071212,A woman who cleans out port-a-potties rests.,Her job is smelly.,0
148324,344205744110,A brunette couple smiles at the camera while sitting on a couch.,The couple are having their photo taken.,0
